实验时间,"时间		",分数,方块数量,备注,点击位置
17:46:07,213.65,625,50,effective,"[['right', [420, -20], [294, 289]], ['down', [420, -20], [470, 320]], ['right', [420, -20], [335, 360]], ['down', [420, -20], [272, 338]], ['left', [420, -20], [392, 275]], ['up', [420, -20], [476, 357]], ['right', [420, -20], [283, 349]], ['down', [420, -20], [280, 274]], ['left', [420, -20], [467, 312]], ['up', [420, -20], [509, 364]], ['right', [420, -20], [367, 386]], ['down', [420, -20], [301, 330]], ['left', [420, -20], [392, 285]], ['up', [420, -20], [211, 224]], ['left', [420, -20], [131, 436]], ['down', [420, -20], [73, 418]], ['left', [420, -20], [102, 288]], ['up', [420, -20], [305, 379]], ['right', [420, -20], [265, 446]], ['down', [420, -20], [386, 433]], ['right', [420, -20], [490, 299]], ['up', [420, -20], [129, 259]], ['left', [420, -20], [244, 229]], ['up', [420, -20], [137, 254]], ['left', [420, -20], [211, 416]], ['down', [420, -20], [340, 359]], ['right', [420, -20], [327, 272]], ['up', [420, -20], [150, 113]], ['left', [420, -20], [200, 373]], ['down', [420, -20], [431, 417]], ['right', [420, -20], [422, 238]], ['up', [420, -20], [170, 34]], ['left', [420, -20], [293, 402]], ['down', [420, -20], [415, 358]], ['right', [420, -20], [400, 282]], ['up', [420, -20], [450, 267]], ['right', [420, -20], [412, 366]], ['down', [420, -20], [297, 334]], ['left', [420, -20], [315, 232]], ['up', [420, -20], [413, 96]], ['right', [420, -20], [468, 59]], ['up', [420, -20], [335, 109]], ['left', [420, -20], [112, 250]], ['down', [420, -20], [373, 252]], ['right', [420, -20], [388, 413]], ['down', [420, -20], [218, 403]], ['left', [420, -20], [308, 446]], ['down', [420, -20], [382, 450]], ['right', [420, -20], [416, 183]], ['up', [420, -20], [96, 91]], ['left', [420, -20], [134, 382]], ['down', [420, -20], [365, 379]], ['right', [420, -20], [174, 388]], ['down', [420, -20], [84, 360]], ['left', [420, -20], [152, 281]], ['up', [420, -20], [325, 332]], ['right', [420, -20], [196, 383]], ['down', [420, -20], [75, 360]], ['left', [420, -20], [134, 423]], ['down', [420, -20], [406, 397]], ['right', [420, -20], [472, 224]], ['up', [420, -20], [221, 227]], ['left', [420, -20], [294, 225]], ['up', [420, -20], [194, 252]], ['left', [420, -20], [207, 407]], ['down', [420, -20], [407, 416]], ['right', [420, -20], [425, 249]], ['up', [420, -20], [213, 273]], ['left', [420, -20], [263, 246]], ['up', [420, -20], [446, 193]], ['right', [420, -20], [391, 411]], ['down', [420, -20], [261, 349]], ['left', [420, -20], [254, 218]], ['up', [420, -20], [90, 158]], ['left', [420, -20], [100, 346]], ['down', [420, -20], [300, 339]], ['right', [420, -20], [190, 426]], ['down', [420, -20], [108, 387]], ['left', [420, -20], [142, 223]], ['up', [420, -20], [297, 268]], ['right', [420, -20], [464, 435]], ['down', [420, -20], [268, 394]], ['left', [420, -20], [173, 198]], ['up', [420, -20], [120, 284]], ['left', [420, -20], [139, 430]], ['down', [420, -20], [350, 437]], ['right', [420, -20], [503, 245]], ['up', [420, -20], [337, 257]], ['left', [420, -20], [177, 395]], ['down', [420, -20], [121, 376]], ['left', [420, -20], [193, 269]], ['up', [420, -20], [371, 197]], ['right', [420, -20], [569, 407]], ['down', [420, -20], [245, 344]], ['left', [420, -20], [216, 233]], ['up', [420, -20], [134, 285]], ['left', [420, -20], [114, 380]], ['down', [420, -20], [325, 434]], ['right', [420, -20], [355, 279]], ['up', [420, -20], [244, 345]], ['left', [420, -20], [207, 237]], ['up', [420, -20], [494, 219]], ['right', [420, -20], [588, 340]], ['down', [420, -20], [367, 349]], ['left', [420, -20], [153, 179]], ['up', [420, -20], [524, 151]], ['right', [420, -20], [444, 383]], ['down', [420, -20], [184, 363]], ['left', [420, -20], [262, 223]], ['up', [420, -20], [211, 270]], ['left', [420, -20], [229, 427]], ['down', [420, -20], [409, 414]], ['right', [420, -20], [455, 279]], ['up', [420, -20], [173, 307]], ['left', [420, -20], [160, 408]], ['down', [420, -20], [478, 409]], ['right', [420, -20], [449, 272]], ['up', [420, -20], [171, 215]], ['left', [420, -20], [176, 396]], ['down', [420, -20], [478, 363]], ['right', [420, -20], [415, 266]], ['up', [420, -20], [155, 209]], ['left', [420, -20], [232, 349]], ['down', [420, -20], [448, 341]], ['right', [420, -20], [365, 409]], ['down', [420, -20], [528, 404]], ['right', [420, -20], [554, 290]], ['up', [420, -20], [257, 212]], ['left', [420, -20], [154, 344]], ['down', [420, -20], [502, 365]], ['right', [420, -20], [531, 275]], ['up', [420, -20], [224, 238]], ['left', [420, -20], [192, 368]], ['down', [420, -20], [527, 348]], ['right', [420, -20], [534, 244]], ['up', [420, -20], [286, 214]], ['left', [420, -20], [157, 355]], ['down', [420, -20], [518, 331]], ['right', [420, -20], [461, 413]], ['down', [420, -20], [589, 375]], ['right', [420, -20], [538, 282]], ['up', [420, -20], [209, 151]], ['left', [420, -20], [221, 332]], ['down', [420, -20], [502, 368]], ['right', [420, -20], [558, 71]], ['up', [420, -20], [370, 152]], ['left', [420, -20], [236, 346]], ['down', [420, -20], [550, 373]], ['right', [420, -20], [555, 182]], ['up', [420, -20], [417, 236]], ['left', [420, -20], [184, 312]], ['down', [420, -20], [499, 413]], ['right', [420, -20], [562, 258]], ['up', [420, -20], [308, 256]], ['left', [420, -20], [42, 414]], ['down', [420, -20], [461, 380]], ['right', [420, -20], [389, 166]], ['up', [420, -20], [55, 179]], ['left', [420, -20], [35, 417]], ['down', [420, -20], [324, 377]], ['right', [420, -20], [471, 170]], ['up', [420, -20], [122, 234]], ['left', [420, -20], [76, 321]], ['down', [420, -20], [371, 423]], ['right', [420, -20], [435, 263]], ['up', [420, -20], [146, 202]], ['left', [420, -20], [109, 418]], ['down', [420, -20], [437, 393]], ['right', [420, -20], [486, 264]], ['up', [420, -20], [125, 114]], ['left', [420, -20], [126, 403]], ['down', [420, -20], [366, 384]], ['right', [420, -20], [532, 132]], ['up', [420, -20], [287, 84]], ['left', [420, -20], [152, 352]], ['down', [420, -20], [524, 340]], ['right', [420, -20], [508, 212]], ['up', [420, -20], [197, 179]], ['left', [420, -20], [82, 368]], ['down', [420, -20], [479, 421]], ['right', [420, -20], [387, 143]], ['up', [420, -20], [132, 220]], ['left', [420, -20], [129, 381]], ['down', [420, -20], [466, 392]], ['right', [420, -20], [419, 134]], ['up', [420, -20], [90, 195]], ['left', [420, -20], [118, 438]], ['down', [420, -20], [405, 414]], ['right', [420, -20], [380, 273]], ['up', [420, -20], [450, 306]], ['right', [420, -20], [456, 129]], ['up', [420, -20], [292, 167]], ['left', [420, -20], [224, 387]], ['down', [420, -20], [401, 395]], ['right', [420, -20], [368, 283]], ['up', [420, -20], [469, 327]], ['right', [420, -20], [463, 164]], ['up', [420, -20], [265, 174]], ['left', [420, -20], [165, 346]], ['down', [420, -20], [472, 370]], ['right', [420, -20], [471, 284]], ['up', [420, -20], [262, 250]], ['left', [420, -20], [85, 441]], ['down', [420, -20], [392, 390]], ['right', [420, -20], [472, 216]], ['up', [420, -20], [136, 166]], ['left', [420, -20], [63, 323]], ['down', [420, -20], [320, 379]], ['right', [420, -20], [512, 214]], ['up', [420, -20], [165, 147]], ['left', [420, -20], [97, 403]], ['down', [420, -20], [276, 379]], ['right', [420, -20], [460, 173]], ['up', [420, -20], [124, 150]], ['left', [420, -20], [91, 407]], ['down', [420, -20], [327, 377]], ['right', [420, -20], [538, 224]], ['up', [420, -20], [175, 106]], ['left', [420, -20], [131, 385]], ['down', [420, -20], [366, 394]], ['right', [420, -20], [499, 138]], ['up', [420, -20], [162, 123]], ['left', [420, -20], [58, 378]], ['down', [420, -20], [294, 348]], ['right', [420, -20], [437, 165]]]"
,,,,,
17:57:16,4.93,8,1,effective,"[['right', [520, 500], [296, 224]], ['down', [520, 500], [429, 438]], ['right', [520, 500], [578, 440]]]"
17:58:28,68.97,58,7,effective,"[['right', [640, -20], [314, 254]], ['down', [640, -20], [352, 302]], ['right', [640, -20], [441, 184]], ['up', [640, -20], [352, 155]], ['left', [640, -20], [120, 158]], ['down', [640, -20], [119, 204]], ['left', [640, -20], [117, 170]], ['up', [640, -20], [117, 162]], ['right', [640, -20], [135, 173]], ['down', [640, -20], [112, 191]], ['left', [640, -20], [43, 136]], ['up', [640, -20], [187, 177]], ['right', [640, -20], [148, 182]], ['down', [640, -20], [271, 235]], ['right', [640, -20], [525, 227]], ['up', [640, -20], [537, 203]], ['right', [640, -20], [530, 220]], ['down', [640, -20], [504, 263]], ['left', [640, -20], [378, 155]], ['up', [640, -20], [494, 144]], ['right', [640, -20], [503, 150]], ['down', [640, -20], [428, 196]], ['left', [640, -20], [381, 388]], ['down', [640, -20], [391, 392]], ['right', [640, -20], [440, 377]], ['up', [640, -20], [470, 127]], ['left', [640, -20], [206, 163]], ['up', [640, -20], [228, 313]], ['left', [640, -20], [118, 335]], ['down', [640, -20], [273, 374]], ['right', [640, -20], [284, 311]], ['up', [640, -20], [475, 186]], ['right', [640, -20], [490, 283]], ['down', [640, -20], [425, 323]], ['left', [640, -20], [268, 269]], ['up', [640, -20], [319, 272]], ['right', [640, -20], [341, 399]], ['down', [640, -20], [383, 252]], ['right', [640, -20], [413, 303]], ['up', [640, -20], [265, 167]], ['left', [640, -20], [234, 207]], ['down', [640, -20], [227, 219]], ['left', [640, -20], [190, 193]], ['up', [640, -20], [209, 192]], ['right', [640, -20], [209, 192]], ['down', [640, -20], [167, 274]], ['left', [640, -20], [135, 217]], ['up', [640, -20], [190, 197]], ['right', [640, -20], [200, 186]], ['down', [640, -20], [161, 237]], ['left', [640, -20], [156, 200]], ['up', [640, -20], [147, 185]], ['right', [640, -20], [210, 207]], ['down', [640, -20], [185, 242]], ['left', [640, -20], [166, 222]], ['up', [640, -20], [203, 191]], ['right', [640, -20], [213, 186]], ['down', [640, -20], [173, 312]], ['left', [640, -20], [152, 191]], ['up', [640, -20], [192, 199]], ['right', [640, -20], [585, 214]], ['down', [640, -20], [594, 273]], ['right', [640, -20], [583, 221]]]"
17:59:02,29.88,58,7,effective,"[['right', [-20, 480], [324, 276]], ['down', [-20, 480], [315, 303]], ['right', [-20, 480], [453, 242]], ['up', [-20, 480], [343, 201]], ['left', [-20, 480], [173, 207]], ['down', [-20, 480], [167, 209]], ['left', [-20, 480], [130, 183]], ['up', [-20, 480], [173, 173]], ['right', [-20, 480], [174, 176]], ['down', [-20, 480], [149, 199]], ['left', [-20, 480], [141, 184]], ['up', [-20, 480], [151, 171]], ['right', [-20, 480], [157, 175]], ['down', [-20, 480], [60, 219]], ['left', [-20, 480], [78, 147]], ['up', [-20, 480], [75, 150]], ['right', [-20, 480], [304, 241]], ['down', [-20, 480], [287, 373]], ['left', [-20, 480], [291, 371]], ['down', [-20, 480], [304, 417]], ['right', [-20, 480], [317, 376]], ['up', [-20, 480], [238, 353]], ['left', [-20, 480], [239, 364]], ['down', [-20, 480], [236, 370]], ['right', [-20, 480], [285, 292]], ['up', [-20, 480], [209, 275]], ['left', [-20, 480], [227, 324]], ['down', [-20, 480], [354, 349]], ['right', [-20, 480], [471, 419]], ['down', [-20, 480], [354, 411]]]"
,,,,,
18:05:03,27.97,40,5,effective,"[['right', [660, 480], [416, 233]], ['down', [660, 480], [394, 246]], ['right', [660, 480], [271, 273]], ['down', [660, 480], [234, 271]], ['left', [660, 480], [314, 346]], ['down', [660, 480], [392, 346]], ['right', [660, 480], [288, 268]], ['up', [660, 480], [422, 306]], ['right', [660, 480], [378, 346]], ['down', [660, 480], [296, 353]], ['left', [660, 480], [320, 369]], ['down', [660, 480], [493, 375]], ['right', [660, 480], [372, 283]], ['up', [660, 480], [301, 291]], ['left', [660, 480], [325, 320]], ['down', [660, 480], [485, 327]], ['right', [660, 480], [361, 379]], ['down', [660, 480], [520, 373]], ['right', [660, 480], [383, 299]], ['up', [660, 480], [476, 348]], ['right', [660, 480], [398, 379]], ['down', [660, 480], [348, 399]], ['left', [660, 480], [289, 411]], ['down', [660, 480], [433, 404]], ['right', [660, 480], [293, 405]], ['up', [660, 480], [283, 404]], ['left', [660, 480], [272, 414]], ['down', [660, 480], [392, 443]], ['right', [660, 480], [356, 381]], ['up', [660, 480], [266, 402]], ['left', [660, 480], [431, 412]], ['down', [660, 480], [405, 424]]]"
18:06:41,94.06,168,18,effective,"[['right', [-20, 220], [302, 241]], ['down', [-20, 220], [405, 251]], ['right', [-20, 220], [436, 382]], ['down', [-20, 220], [319, 373]], ['left', [-20, 220], [344, 273]], ['up', [-20, 220], [246, 292]], ['left', [-20, 220], [366, 209]], ['up', [-20, 220], [241, 249]], ['right', [-20, 220], [368, 310]], ['down', [-20, 220], [289, 338]], ['left', [-20, 220], [374, 214]], ['up', [-20, 220], [425, 229]], ['right', [-20, 220], [354, 258]], ['down', [-20, 220], [437, 253]], ['right', [-20, 220], [407, 173]], ['up', [-20, 220], [329, 221]], ['left', [-20, 220], [340, 220]], ['down', [-20, 220], [456, 260]], ['right', [-20, 220], [396, 186]], ['up', [-20, 220], [348, 184]], ['left', [-20, 220], [338, 210]], ['down', [-20, 220], [489, 240]], ['right', [-20, 220], [418, 204]], ['down', [-20, 220], [394, 97]], ['right', [-20, 220], [380, 157]], ['up', [-20, 220], [344, 181]], ['left', [-20, 220], [450, 126]], ['up', [-20, 220], [494, 142]], ['right', [-20, 220], [390, 184]], ['down', [-20, 220], [359, 205]], ['left', [-20, 220], [418, 139]], ['up', [-20, 220], [456, 179]], ['right', [-20, 220], [374, 196]], ['down', [-20, 220], [312, 197]], ['left', [-20, 220], [387, 128]], ['up', [-20, 220], [471, 157]], ['right', [-20, 220], [451, 248]], ['down', [-20, 220], [397, 330]], ['left', [-20, 220], [474, 429]], ['down', [-20, 220], [535, 398]], ['right', [-20, 220], [457, 297]], ['up', [-20, 220], [387, 325]], ['left', [-20, 220], [485, 443]], ['down', [-20, 220], [563, 412]], ['right', [-20, 220], [490, 319]], ['up', [-20, 220], [404, 336]], ['left', [-20, 220], [444, 255]], ['up', [-20, 220], [539, 301]], ['right', [-20, 220], [487, 122]], ['up', [-20, 220], [423, 171]], ['left', [-20, 220], [448, 250]], ['down', [-20, 220], [585, 208]], ['right', [-20, 220], [547, 149]], ['up', [-20, 220], [360, 194]], ['left', [-20, 220], [304, 213]], ['down', [-20, 220], [273, 311]], ['right', [-20, 220], [243, 250]], ['up', [-20, 220], [131, 278]], ['left', [-20, 220], [133, 236]], ['up', [-20, 220], [235, 242]], ['right', [-20, 220], [372, 278]], ['down', [-20, 220], [323, 306]], ['left', [-20, 220], [394, 422]], ['down', [-20, 220], [542, 408]], ['right', [-20, 220], [492, 272]], ['up', [-20, 220], [566, 342]], ['right', [-20, 220], [471, 383]], ['down', [-20, 220], [421, 376]], ['left', [-20, 220], [404, 268]], ['up', [-20, 220], [444, 267]], ['right', [-20, 220], [355, 242]], ['down', [-20, 220], [297, 267]], ['left', [-20, 220], [368, 210]], ['up', [-20, 220], [473, 251]], ['right', [-20, 220], [440, 314]], ['down', [-20, 220], [182, 337]], ['left', [-20, 220], [283, 258]], ['up', [-20, 220], [402, 325]], ['right', [-20, 220], [298, 363]], ['down', [-20, 220], [315, 377]], ['right', [-20, 220], [286, 272]], ['up', [-20, 220], [194, 313]], ['left', [-20, 220], [312, 265]], ['up', [-20, 220], [485, 306]], ['right', [-20, 220], [462, 247]], ['up', [-20, 220], [334, 243]], ['left', [-20, 220], [300, 285]], ['down', [-20, 220], [136, 294]], ['left', [-20, 220], [117, 178]], ['up', [-20, 220], [217, 207]], ['right', [-20, 220], [156, 252]], ['down', [-20, 220], [274, 256]], ['right', [-20, 220], [179, 267]], ['up', [-20, 220], [140, 197]], ['left', [-20, 220], [135, 285]], ['down', [-20, 220], [270, 335]], ['right', [-20, 220], [237, 350]], ['down', [-20, 220], [223, 355]], ['left', [-20, 220], [215, 248]], ['up', [-20, 220], [170, 262]], ['right', [-20, 220], [140, 250]], ['down', [-20, 220], [278, 225]], ['right', [-20, 220], [256, 186]], ['up', [-20, 220], [68, 188]]]"
18:08:47,122.17,226,23,effective,"[['right', [240, 500], [327, 258]], ['down', [240, 500], [363, 234]], ['right', [240, 500], [262, 183]], ['up', [240, 500], [368, 239]], ['right', [240, 500], [293, 282]], ['down', [240, 500], [217, 279]], ['left', [240, 500], [230, 271]], ['up', [240, 500], [405, 295]], ['right', [240, 500], [315, 304]], ['down', [240, 500], [181, 303]], ['left', [240, 500], [203, 381]], ['down', [240, 500], [109, 452]], ['right', [240, 500], [47, 367]], ['up', [240, 500], [38, 357]], ['left', [240, 500], [93, 412]], ['down', [240, 500], [223, 432]], ['right', [240, 500], [122, 439]], ['down', [240, 500], [56, 430]], ['left', [240, 500], [93, 369]], ['up', [240, 500], [15, 386]], ['left', [240, 500], [52, 420]], ['down', [240, 500], [162, 430]], ['right', [240, 500], [343, 281]], ['up', [240, 500], [296, 310]], ['left', [240, 500], [346, 379]], ['down', [240, 500], [455, 396]], ['right', [240, 500], [430, 335]], ['up', [240, 500], [356, 345]], ['left', [240, 500], [320, 370]], ['down', [240, 500], [438, 400]], ['right', [240, 500], [448, 289]], ['up', [240, 500], [331, 284]], ['left', [240, 500], [490, 397]], ['down', [240, 500], [273, 359]], ['left', [240, 500], [152, 189]], ['up', [240, 500], [269, 239]], ['right', [240, 500], [267, 177]], ['up', [240, 500], [31, 171]], ['left', [240, 500], [101, 235]], ['down', [240, 500], [273, 306]], ['right', [240, 500], [100, 145]], ['up', [240, 500], [52, 194]], ['left', [240, 500], [52, 248]], ['down', [240, 500], [191, 255]], ['right', [240, 500], [84, 98]], ['up', [240, 500], [68, 217]], ['left', [240, 500], [118, 279]], ['down', [240, 500], [259, 255]], ['right', [240, 500], [269, 253]], ['up', [240, 500], [90, 269]], ['left', [240, 500], [208, 316]], ['down', [240, 500], [356, 329]], ['right', [240, 500], [280, 203]], ['up', [240, 500], [236, 225]], ['left', [240, 500], [364, 186]], ['up', [240, 500], [445, 219]], ['right', [240, 500], [347, 266]], ['down', [240, 500], [465, 265]], ['right', [240, 500], [380, 158]], ['up', [240, 500], [549, 213]], ['right', [240, 500], [449, 256]], ['down', [240, 500], [565, 280]], ['right', [240, 500], [457, 128]], ['up', [240, 500], [390, 196]], ['left', [240, 500], [465, 252]], ['down', [240, 500], [577, 290]], ['right', [240, 500], [493, 261]], ['up', [240, 500], [464, 313]], ['left', [240, 500], [509, 376]], ['down', [240, 500], [610, 332]], ['right', [240, 500], [573, 281]], ['up', [240, 500], [398, 297]], ['left', [240, 500], [260, 289]], ['down', [240, 500], [62, 275]], ['left', [240, 500], [131, 224]], ['up', [240, 500], [211, 278]], ['right', [240, 500], [149, 299]], ['down', [240, 500], [62, 299]], ['left', [240, 500], [99, 250]], ['up', [240, 500], [249, 250]], ['right', [240, 500], [226, 269]], ['down', [240, 500], [178, 316]], ['left', [240, 500], [248, 200]], ['up', [240, 500], [372, 250]], ['right', [240, 500], [377, 175]], ['up', [240, 500], [442, 232]], ['left', [240, 500], [448, 274]], ['down', [240, 500], [566, 281]], ['right', [240, 500], [414, 145]], ['up', [240, 500], [309, 190]], ['left', [240, 500], [365, 243]], ['down', [240, 500], [473, 268]], ['right', [240, 500], [513, 176]], ['up', [240, 500], [443, 194]], ['left', [240, 500], [473, 245]], ['down', [240, 500], [563, 278]], ['right', [240, 500], [532, 232]], ['down', [240, 500], [454, 264]], ['left', [240, 500], [371, 186]], ['up', [240, 500], [497, 205]], ['right', [240, 500], [531, 226]], ['down', [240, 500], [492, 360]], ['left', [240, 500], [510, 278]], ['up', [240, 500], [553, 276]], ['right', [240, 500], [446, 285]], ['down', [240, 500], [332, 250]], ['left', [240, 500], [294, 220]], ['up', [240, 500], [390, 244]], ['right', [240, 500], [398, 161]], ['down', [240, 500], [475, 212]], ['right', [240, 500], [372, 132]], ['up', [240, 500], [505, 152]], ['right', [240, 500], [482, 227]], ['down', [240, 500], [231, 299]], ['left', [240, 500], [299, 259]], ['up', [240, 500], [143, 291]], ['left', [240, 500], [222, 392]], ['down', [240, 500], [373, 378]], ['right', [240, 500], [214, 405]], ['up', [240, 500], [153, 355]], ['left', [240, 500], [170, 396]], ['down', [240, 500], [273, 399]], ['right', [240, 500], [272, 347]], ['up', [240, 500], [122, 326]], ['left', [240, 500], [240, 178]], ['up', [240, 500], [130, 210]], ['right', [240, 500], [139, 297]], ['down', [240, 500], [67, 325]], ['left', [240, 500], [129, 167]], ['up', [240, 500], [249, 243]], ['right', [240, 500], [329, 310]], ['down', [240, 500], [232, 333]], ['left', [240, 500], [476, 324]], ['up', [240, 500], [488, 282]], ['right', [240, 500], [448, 332]], ['down', [240, 500], [289, 379]], ['left', [240, 500], [165, 268]], ['up', [240, 500], [267, 332]], ['right', [240, 500], [184, 364]]]"
,,,,,
18:31:14,16.26,16,2,effective,"[['right', [560, -20], [322, 211]], ['down', [560, -20], [358, 328]], ['right', [560, -20], [333, 230]], ['up', [560, -20], [333, 230]], ['left', [560, -20], [333, 230]], ['down', [560, -20], [333, 230]], ['right', [560, -20], [333, 230]], ['down', [560, -20], [333, 230]], ['left', [560, -20], [333, 230]], ['down', [560, -20], [333, 230]], ['right', [560, -20], [333, 230]], ['up', [560, -20], [333, 230]], ['left', [560, -20], [333, 230]], ['down', [560, -20], [333, 230]], ['right', [560, -20], [425, 145]]]"
18:32:26,68.04,85,10,effective,"[['right', [560, 500], [299, 241]], ['down', [560, 500], [305, 253]], ['right', [560, 500], [305, 253]], ['up', [560, 500], [305, 253]], ['left', [560, 500], [305, 253]], ['down', [560, 500], [305, 253]], ['right', [560, 500], [305, 253]], ['up', [560, 500], [305, 253]], ['left', [560, 500], [305, 253]], ['down', [560, 500], [305, 253]], ['right', [560, 500], [305, 249]], ['down', [560, 500], [305, 249]], ['right', [560, 500], [305, 249]], ['up', [560, 500], [302, 246]], ['left', [560, 500], [302, 245]], ['down', [560, 500], [301, 245]], ['right', [560, 500], [301, 245]], ['up', [560, 500], [301, 244]], ['right', [560, 500], [301, 244]], ['down', [560, 500], [301, 244]], ['right', [560, 500], [301, 244]], ['down', [560, 500], [301, 244]], ['left', [560, 500], [287, 224]], ['up', [560, 500], [283, 221]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['up', [560, 500], [271, 213]], ['right', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['left', [560, 500], [271, 213]], ['down', [560, 500], [271, 213]], ['right', [560, 500], [475, 308]], ['up', [560, 500], [448, 297]], ['left', [560, 500], [452, 315]], ['down', [560, 500], [437, 413]], ['right', [560, 500], [490, 417]]]"
18:34:11,101.76,76,9,effective,"[['right', [660, 480], [257, 261]], ['down', [660, 480], [257, 261]], ['left', [660, 480], [257, 261]], ['up', [660, 480], [302, 397]], ['right', [660, 480], [291, 382]], ['down', [660, 480], [169, 176]], ['left', [660, 480], [255, 227]], ['up', [660, 480], [347, 263]], ['right', [660, 480], [323, 279]], ['down', [660, 480], [312, 313]], ['left', [660, 480], [312, 314]], ['up', [660, 480], [377, 315]], ['right', [660, 480], [364, 315]], ['down', [660, 480], [364, 315]], ['right', [660, 480], [364, 315]], ['down', [660, 480], [297, 283]], ['left', [660, 480], [236, 162]], ['up', [660, 480], [239, 165]], ['left', [660, 480], [238, 172]], ['up', [660, 480], [420, 189]], ['right', [660, 480], [445, 209]], ['down', [660, 480], [436, 287]], ['right', [660, 480], [432, 288]], ['down', [660, 480], [330, 288]], ['left', [660, 480], [322, 226]], ['up', [660, 480], [300, 190]], ['right', [660, 480], [215, 185]], ['up', [660, 480], [177, 199]], ['left', [660, 480], [240, 315]], ['down', [660, 480], [271, 341]], ['right', [660, 480], [308, 325]], ['down', [660, 480], [199, 395]], ['left', [660, 480], [245, 241]], ['up', [660, 480], [339, 273]], ['right', [660, 480], [329, 349]], ['down', [660, 480], [290, 408]], ['left', [660, 480], [290, 346]], ['up', [660, 480], [320, 273]], ['right', [660, 480], [336, 296]], ['down', [660, 480], [335, 298]], ['left', [660, 480], [329, 298]], ['up', [660, 480], [469, 291]], ['right', [660, 480], [492, 373]], ['down', [660, 480], [406, 383]], ['left', [660, 480], [352, 388]], ['down', [660, 480], [346, 388]], ['right', [660, 480], [343, 388]], ['up', [660, 480], [307, 380]], ['left', [660, 480], [170, 460]], ['down', [660, 480], [189, 441]], ['right', [660, 480], [259, 384]], ['up', [660, 480], [199, 350]], ['left', [660, 480], [189, 373]], ['down', [660, 480], [297, 427]], ['right', [660, 480], [345, 318]], ['up', [660, 480], [156, 266]], ['left', [660, 480], [86, 339]], ['down', [660, 480], [84, 349]], ['right', [660, 480], [126, 325]], ['down', [660, 480], [96, 323]], ['left', [660, 480], [101, 319]], ['up', [660, 480], [124, 272]], ['right', [660, 480], [175, 207]], ['up', [660, 480], [84, 242]], ['left', [660, 480], [68, 270]], ['down', [660, 480], [191, 262]], ['right', [660, 480], [235, 133]], ['up', [660, 480], [155, 147]], ['left', [660, 480], [187, 189]], ['down', [660, 480], [226, 266]], ['right', [660, 480], [213, 184]], ['up', [660, 480], [195, 184]], ['left', [660, 480], [206, 234]], ['down', [660, 480], [216, 247]], ['right', [660, 480], [230, 177]], ['up', [660, 480], [209, 189]], ['left', [660, 480], [205, 243]], ['down', [660, 480], [213, 254]], ['right', [660, 480], [215, 220]], ['up', [660, 480], [208, 220]], ['left', [660, 480], [195, 261]], ['down', [660, 480], [214, 276]], ['right', [660, 480], [217, 262]], ['down', [660, 480], [235, 134]], ['right', [660, 480], [232, 131]], ['up', [660, 480], [133, 281]], ['left', [660, 480], [166, 300]], ['down', [660, 480], [214, 295]], ['right', [660, 480], [237, 235]], ['up', [660, 480], [225, 248]], ['left', [660, 480], [234, 280]], ['down', [660, 480], [256, 295]], ['right', [660, 480], [249, 269]], ['down', [660, 480], [326, 284]], ['right', [660, 480], [328, 245]], ['up', [660, 480], [201, 305]], ['left', [660, 480], [204, 238]], ['down', [660, 480], [313, 229]], ['right', [660, 480], [246, 137]], ['up', [660, 480], [210, 209]], ['left', [660, 480], [205, 239]], ['down', [660, 480], [355, 289]], ['right', [660, 480], [421, 96]], ['up', [660, 480], [354, 150]], ['left', [660, 480], [371, 180]], ['down', [660, 480], [435, 203]], ['right', [660, 480], [442, 123]], ['down', [660, 480], [519, 40]], ['right', [660, 480], [484, 79]], ['up', [660, 480], [432, 155]], ['left', [660, 480], [375, 249]], ['down', [660, 480], [337, 330]], ['left', [660, 480], [329, 325]], ['down', [660, 480], [455, 338]], ['right', [660, 480], [374, 184]], ['up', [660, 480], [284, 203]], ['left', [660, 480], [317, 310]], ['down', [660, 480], [410, 396]]]"
,,,,,
20:25:55,8.47,8,1,effective,"[['right', [-20, 120], [308, 331]], ['down', [-20, 120], [94, 348]], ['left', [-20, 120], [45, 186]], ['up', [-20, 120], [206, 314]], ['right', [-20, 120], [265, 176]], ['up', [-20, 120], [48, 218]]]"
